t,ref_x,ref_y,ref_z,ref_yaw,meas_x,meas_y,meas_z,roll,pitch,yaw,w1,w2,w3,w4
0,0,0,1,0,0,0,1,0,-0,0,0,0,0,0
0.001,0,0,1,0,-2.88090471123423e-16,1.24553991176013e-17,0.999994900074683,-5.91139633015914e-16,-1.6708785419195e-14,-5.80153880182764e-20,0,0,0,0
0.002,0,0,1,0,1.35593028917498e-15,-5.55809903318095e-17,0.999980179564368,3.15073984530427e-15,7.86461906842913e-14,5.56568819324926e-28,0,0,0,0
0.003,0,0,1,0,5.04083560724276e-14,-2.04863355126964e-15,0.999955487265596,1.1882385192763e-13,2.9237250744459e-12,-1.41143626301064e-17,0,0,0,0
0.004,0,0,1,0,3.45936491887329e-13,-1.40625057043383e-14,0.999920874752883,8.15638571992785e-13,2.00645877769069e-11,-2.18855587521305e-17,0,0,0,0
0.005,0,0,1,0,1.25043410177043e-12,-5.08258972072734e-14,0.999877317675596,2.94798483637997e-12,7.25261559857945e-11,-5.40506275713364e-17,0,0,0,0
0.006,0,0,1,0,3.94278738964736e-12,-1.60248231397559e-13,0.999823100464475,9.29445656387566e-12,2.28684734753727e-10,-1.36039951392057e-16,0,0,0,0
0.007,0,0,1,0,1.01704085959798e-11,-4.13311026829588e-13,0.999758912873253,2.39723389810458e-11,5.8989152617109e-10,-3.13676975011932e-16,0,0,0,0
0.008,0,0,1,0,2.14258611807965e-11,-8.70614898103169e-13,0.999686109900664,5.04963080031523e-11,1.24271622243178e-09,-6.27200637776526e-16,0,0,0,0
0.009,0,0,1,0,4.37080689403779e-11,-1.77570378232381e-12,0.999602082521991,1.02991944018113e-10,2.53510016156828e-09,-1.20421582883964e-15,0,0,0,0
0.01,0,0,1,0,8.4681734238023e-11,-3.43938661396074e-12,0.999507233962214,1.99486657725325e-10,4.91159847755542e-09,-2.1195081821976e-15,0,0,0,0
0.011,0,0,1,0,1.45182357610767e-10,-5.89509607678094e-12,0.999404701778082,3.41919129637879e-10,8.42066619286206e-09,-3.29970900931289e-15,0,0,0,0
0.012,0,0,1,0,2.28785504703213e-10,-9.28774877593753e-12,0.999293921351457,5.38694458863888e-10,1.32696861478317e-08,-4.77274235032375e-15,0,0,0,0
0.013,0,0,1,0,3.85408481569609e-10,-1.56382711362751e-11,0.999167709154526,9.07025171391074e-10,2.23538259309382e-08,-6.41848048820847e-15,0,0,0,0
0.014,0,0,1,0,5.65873776198218e-10,-2.29532872355747e-11,0.999038143864137,1.33129501715201e-09,3.28207842436037e-08,-7.84632923130032e-15,0,0,0,0
