t,cmd_pitch,cmd_roll
0,0,0
0.001,1.19383945391562e-15,3.6152523822564e-17
0.002,1.21459153927576e-15,5.13958551038028e-17
0.003,-2.96965807829113e-13,-1.20791635451258e-14
0.004,-2.84352707152887e-12,-1.15594501212483e-13
0.005,-1.22333302355848e-11,-4.97272026621587e-13
0.006,-4.59467258869758e-11,-1.86750864961671e-12
0.007,-1.35544844177227e-10,-5.50867263484128e-12
0.008,-3.12178232813625e-10,-1.26860797033019e-11
0.009,-6.99332140730309e-10,-2.84147273582329e-11
0.01,-1.48209469255831e-09,-6.02056846080717e-11
0.011,-2.70840246485307e-09,-1.09996645598653e-10
0.012,-4.46650968367926e-09,-1.81367288899141e-10
0.013,-8.05929471701649e-09,-3.27115877223689e-10
0.014,-1.22920571665137e-08,-4.98780609960644e-10
0.015,-1.94619412602741e-08,-7.89374595283468e-10
0.016,-2.91835241510091e-08,-1.1830851268592e-09
0.017,-4.3422074308842e-08,-1.75933055035586e-09
0.018,-5.84940631578771e-08,-2.36917267910617e-09
0.019,-8.55953013697917e-08,-3.463925275217e-09
0.02,-1.12696539581706e-07,-4.55867787132785e-09
0.021,-1.59163037277113e-07,-6.43084241123749e-09
0.022,-2.11459681000079e-07,-8.53705623717812e-09
0.023,-2.63756324723045e-07,-1.06432700631188e-08
0.024,-3.52185145513718e-07,-1.41927541831175e-08
0.025,-4.49413665699727e-07,-1.80937351063709e-08
0.026,-5.46642185885736e-07,-2.19947160296244e-08
0.027,-7.11534177749103e-07,-2.85783753443317e-08
0.028,-8.89342607308444e-07,-3.56741373851123e-08
0.029,-1.06715103686779e-06,-4.27698994258929e-08
0.03,-1.2816145911769e-06,-5.13067244501079e-08
0.031,-1.5932433831724e-06,-6.36635126653447e-08
0.032,-1.9048721751679e-06,-7.60203008805814e-08
0.033,-2.21650096716341e-06,-8.83770890958182e-08
0.034,-2.69198702676453e-06,-1.07106512836822e-07
0.035,-3.23501363230255e-06,-1.28462681724724e-07
0.036,-3.77804023784058e-06,-1.49818850612627e-07
0.037,-4.3210668433786e-06,-1.7117501950053e-07
