epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2764,2.29562,5.8528,0.67616,3.97421,2.14547,0.8349,0.8217,0.86487,0.69244,0.0282,0.02993,0.001,0.0001,0.77687,5.64359,0.68135,0.77304,0.96642,0.00036,0.00036,0.00036
2,26.0707,0.64948,1.52375,0.53514,0.62671,0.9367,0.53727,0.21446,0.20933,0.1321,0.35508,0.14838,0.11823,0.02691,2.25133,5.57642,0.61476,2.60906,1.83255,0.000732674,0.000732674,0.000732674
3,32.7901,0.5933,0.9948,0.40942,0.54252,0.91438,0.81326,0.66459,0.69549,0.54142,0.78374,0.6995,0.67524,0.44033,0.85378,2.19313,0.26543,1.29618,1.00908,0.00109782,0.00109782,0.00109782
4,39.5135,0.59434,0.85721,0.34276,0.53144,0.90763,0.43422,0.67332,0.38177,0.29028,0.36209,0.60474,0.2915,0.18473,0.79002,1.84839,0.09106,4.10918,0.99679,0.00145545,0.00145545,0.00145545
5,46.1746,0.58681,0.83832,0.29767,0.53044,0.90347,0.93307,0.817,0.86762,0.68363,0.84921,0.74434,0.72659,0.42855,0.78699,1.66541,0.05781,0.87121,1.00058,0.00180555,0.00180555,0.00180555
6,52.9115,0.60316,0.79585,0.24927,0.53487,0.91137,0.83077,0.89981,0.80778,0.66482,0.73526,0.79302,0.62885,0.40524,0.64263,1.58144,0.04316,1.58833,0.91602,0.001901,0.001901,0.001901
7,59.3718,0.59158,0.76332,0.2095,0.50862,0.90669,0.0021,0.00499,3e-05,1e-05,0,0,0,0,nan,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,66.0522,0.53332,0.69766,0.17497,0.47806,0.89284,0.8278,0.81517,0.80747,0.68098,0.80401,0.79551,0.76594,0.61895,0.61203,1.2834,0.08619,0.9967,0.92484,0.0018614,0.0018614,0.0018614
9,72.794,0.52783,0.64593,0.14964,0.47039,0.88948,0.86984,0.91657,0.86538,0.75382,0.85347,0.90058,0.8308,0.71892,0.53764,0.72958,0.01047,1.01599,0.87437,0.0018416,0.0018416,0.0018416
10,79.4868,0.51242,0.66102,0.13939,0.45521,0.88653,0.91234,0.90836,0.90581,0.79759,0.88979,0.88592,0.87301,0.74742,0.49543,0.75349,0.01525,0.73445,0.85604,0.0018218,0.0018218,0.0018218
11,86.1981,0.49169,0.63696,0.12318,0.44597,0.88368,0.91149,0.89885,0.88789,0.79164,0.8817,0.87032,0.84479,0.74354,0.44638,0.74731,0.01458,0.71955,0.84737,0.001802,0.001802,0.001802
12,92.8298,0.48642,0.60496,0.1133,0.44647,0.88151,0.94777,0.90898,0.93053,0.831,0.92575,0.89277,0.89895,0.8274,0.46134,0.64134,0.00859,0.51192,0.8558,0.0017822,0.0017822,0.0017822
13,99.5025,0.46941,0.58277,0.10047,0.42892,0.87485,0.88736,0.90274,0.86699,0.78147,0.86714,0.88155,0.83122,0.75445,0.44392,0.67298,0.00723,0.84337,0.85729,0.0017624,0.0017624,0.0017624
14,106.152,0.46053,0.56084,0.09422,0.4202,0.87326,0.94967,0.92643,0.95067,0.87299,0.9245,0.89152,0.90703,0.84513,0.42853,0.62563,0.00586,0.43568,0.84142,0.0017426,0.0017426,0.0017426
15,112.828,0.47479,0.55657,0.08426,0.41968,0.87645,0.94296,0.90702,0.9339,0.87117,0.92705,0.87152,0.89553,0.84148,0.37686,0.56775,0.00763,0.46006,0.82979,0.0017228,0.0017228,0.0017228
16,119.451,0.4424,0.5561,0.08351,0.40567,0.86736,0.95012,0.91272,0.93743,0.85456,0.93153,0.89908,0.91362,0.81089,0.43581,0.63182,0.00482,0.46183,0.84625,0.001703,0.001703,0.001703
17,126.071,0.44386,0.54216,0.07828,0.40772,0.87433,0.95946,0.91474,0.94082,0.87063,0.9077,0.90773,0.90212,0.84237,0.39831,0.62615,0.01113,0.42216,0.83948,0.0016832,0.0016832,0.0016832
18,132.711,0.43617,0.54402,0.07895,0.40711,0.8684,0.96897,0.91272,0.95232,0.89259,0.94866,0.89027,0.92236,0.87137,0.36525,0.54935,0.00566,0.37841,0.82242,0.0016634,0.0016634,0.0016634
