timesteps,success_rate,mean_windows_passed
100002,0.700,2.25
200004,0.900,2.80
300006,0.700,2.25
400008,0.750,2.35
500010,0.800,2.50
600012,0.800,2.45
700000,0.800,2.60
800002,0.650,2.15
900004,0.850,2.60
1000006,0.900,2.70
1100008,0.700,2.20
1200010,0.850,2.75
1300012,0.950,2.85
1400000,0.800,2.50
1500002,0.750,2.35
1600004,0.800,2.60
1700006,0.900,2.75
1800008,0.850,2.60
1900010,0.950,2.85
2000012,0.850,2.60
2100000,0.900,2.70
2200002,0.950,2.95
2300004,0.950,2.85
2400006,0.800,2.40
2500008,0.800,2.50
